             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
------------------ ------------ ------------ ----------- -------------- --------------- ----------------- -------------- -------------- -------------- ------------- ------------ ------------ ------------ ---------------- ---------------- ---------------- ---------------- --------------- -------------- -------------- -------------- ------------------ -------------------
     20050730nirc2 single_night 53581.332743 2005.576544             30         0.06737           0.07444        0.01158        0.06850        0.00850     100.52400     27.88186     93.41000      8.31000                9          0.00685          0.08000          0.00000        81.03556        4.88486       81.81000        2.99000               -1.0                -1.0
     20050731nirc2 single_night 53582.334498 2005.579287             32         0.23475           0.24200        0.03969        0.23850        0.02050      54.42531      5.26215     53.06500      1.72000               30          0.03145          0.24000          0.02000        53.29567        2.10906       52.98500        1.59000               -1.0                -1.0
     20060502nirc2 single_night 53857.552386 2006.332792             22         0.05245           0.05667        0.01097        0.05350        0.00700     102.74182     10.43343    105.13000      8.20000                9          0.01155          0.06000          0.00000        92.33889        6.91382       95.94000        4.23000               -1.0                -1.0
     20090722nirc2 single_night 55034.317925 2009.554601              4         0.11650           0.11500        0.02055        0.12200        0.00850      68.67000      6.54250     65.19500      0.57500                4          0.02179          0.12000          0.01000        68.67000        6.54250       65.19500        0.57500               -1.0                -1.0
     20170507nirc2 single_night 57880.558672 2017.347183            140         0.21210           0.22551        0.03647        0.21500        0.02800      52.45579      4.35281     51.91000      2.79000              107          0.02865          0.23000          0.02000        50.54486        2.60022       50.79000        2.01000 0.6135993016065305 0.17600961967846182
     20170813nirc2 single_night 57978.275391 2017.614717             80         0.16313           0.20319        0.05796        0.18500        0.03650      69.07712     23.81221     58.06000      7.06000               47          0.02289          0.21000          0.02000        54.02404        3.36099       53.43000        2.85000 0.4486926747463292 0.10228919995424901
20170823_0826nirc2  multi_night 57990.142868 2017.647208            101         0.15131           0.17367        0.03248        0.14900        0.02500      64.23050      8.18034     62.85000      5.12000               49          0.02362          0.18000          0.01000        57.57306        3.18608       58.14000        1.98000 0.6845771407569533 0.19433947966037626
     20170823nirc2 single_night 57988.243569 2017.642008              6         0.11050           0.12000        0.01899        0.10700        0.01100      73.96500      7.70039     74.64500      4.26000                3          0.02160          0.11000          0.01000        68.22333        6.79861       72.89000        0.28000 0.9314515379421924  0.3211843384983005
     20170824nirc2 single_night 57989.265903 2017.644807             48         0.15881           0.17214        0.02956        0.16250        0.02200      62.98771      6.20979     62.19000      4.88000               28          0.02582          0.18000          0.01000        58.68357        3.00773       59.15000        2.39500 0.8139271805176924 0.18610788980264578
