             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
------------------ ------------ ------------ ----------- -------------- --------------- ----------------- -------------- -------------- -------------- ------------- ------------ ------------ ------------ ---------------- ---------------- ---------------- ---------------- --------------- -------------- -------------- -------------- ------------------ -------------------
     20050630nirc2 single_night 53551.393713 2005.494576             10         0.35950           0.36000        0.04771        0.35250        0.03950      61.85600      3.42358     61.43500      1.52000               10          0.04712          0.35000          0.03500        61.85600        3.42358       61.43500        1.52000               -1.0                -1.0
     20050730nirc2 single_night 53581.328932 2005.576534             27         0.12989           0.13950        0.02346        0.13200        0.01800     100.92037     15.52485     97.74000      9.16000               20          0.01564          0.14000          0.01000        93.43950        6.10615       93.83500        5.73000               -1.0                -1.0
     20050731nirc2 single_night 53582.332587 2005.579282             32         0.39106           0.39094        0.02962        0.39100        0.02400      57.25562      1.93341     57.36000      1.30000               32          0.02865          0.39000          0.02000        57.25562        1.93341       57.36000        1.30000               -1.0                -1.0
     20060502nirc2 single_night 53857.544656 2006.332771             24         0.11408           0.14091        0.03152        0.11600        0.02050     106.79000     17.94160    102.22500     10.03500               11          0.01832          0.14000          0.01000        92.70091        5.75943       94.66000        3.77000               -1.0                -1.0
     20060503nirc2 single_night 53858.511859 2006.335419            127         0.35502           0.37794        0.06920        0.36800        0.04100      60.18102      7.57587     58.05000      2.57000              107          0.04329          0.38000          0.03000        57.44196        2.92954       57.22000        1.87000               -1.0                -1.0
     20060521nirc2 single_night 53876.452724 2006.384539              9         0.27056           0.28000        0.05308        0.26100        0.05300      67.70889      8.03946     66.51000      3.74000                8          0.04583          0.27500          0.03500        65.26625        4.36047       65.90000        4.11000               -1.0                -1.0
20060620_0621nirc2  multi_night 53907.195083 2006.468707            289         0.31313           0.38821        0.09424        0.33100        0.07800      66.08104     12.15896     61.08000      6.34000              156          0.04401          0.38000          0.03000        56.86141        2.78073       56.95000        1.90000               -1.0                -1.0
     20060620nirc2 single_night 53906.392901 2006.466510            125         0.25268           0.32827        0.07654        0.24200        0.05900      72.84056     12.81097     71.57000      9.58000               52          0.03827          0.34000          0.03000        60.82500        3.79023       59.80500        2.62000               -1.0                -1.0
     20060621nirc2 single_night 53907.410868 2006.469297            164         0.35921           0.40143        0.07922        0.37900        0.04350      60.92896      8.60592     57.51000      3.06500              119          0.03946          0.40000          0.03000        56.27336        2.71455       56.09000        1.66000               -1.0                -1.0
     20060717nirc2 single_night 53933.343914 2006.540298             70         0.38371           0.39500        0.05726        0.38750        0.03750      58.85457      5.62083     57.77000      2.96000               64          0.04341          0.39500          0.03500        57.48859        3.34069       57.39500        2.70000               -1.0                -1.0
     20070517nirc2 single_night 54237.550658 2007.373171            101         0.33637           0.38289        0.09569        0.36400        0.05900      63.71059     10.61931     59.09000      3.56000               76          0.05101          0.39000          0.03500        58.28474        3.29302       57.62500        1.93000               -1.0                -1.0
20070810_0812nirc2  multi_night 54323.777766 2007.609248            139         0.27124           0.33700        0.09170        0.26100        0.08200      64.45381      9.48889     62.81000      7.08000               80          0.05758          0.34000          0.04000        57.61913        3.62897       57.08000        3.18000               -1.0                -1.0
     20070810nirc2 single_night 54322.314561 2007.605242             79         0.20990           0.25833        0.05810        0.20500        0.04500      69.48658      8.37671     68.69000      5.56000               36          0.04356          0.25500          0.03500        62.48944        3.46194       63.04500        2.75500               -1.0                -1.0
     20070812nirc2 single_night 54324.304112 2007.610689             60         0.35200           0.36722        0.05965        0.35750        0.02500      57.82733      6.24029     55.74000      2.11000               54          0.03851          0.36000          0.02000        56.03500        2.87658       55.33500        1.75000               -1.0                -1.0
     20080515nirc2 single_night 54601.491526 2008.369587            138         0.31686           0.31933        0.05651        0.30750        0.03400      53.43196      2.72818     53.09500      1.56500              135          0.05558          0.31000          0.03000        53.19615        2.22440       52.94000        1.52000               -1.0                -1.0
     20080724nirc2 single_night 54671.322555 2008.560774            179         0.30998           0.35865        0.07185        0.31600        0.05100      65.13587     10.40449     62.66000      6.35000              104          0.04225          0.35500          0.03000        58.33577        3.28911       58.29500        2.84000               -1.0                -1.0
20090501_0504nirc2  multi_night 54953.995330 2009.334689            311         0.35026           0.41238        0.07450        0.34500        0.05400      63.19161      7.61261     62.75000      5.41000              151          0.04727          0.40000          0.03000        56.90179        3.54800       57.50000        2.91000               -1.0                -1.0
     20090501nirc2 single_night 54952.543417 2009.330714            200         0.31548           0.34421        0.05557        0.31350        0.03850      66.77655      6.34176     66.27500      4.29000              133          0.03976          0.34000          0.03000        63.24150        3.39281       63.22000        2.83000               -1.0                -1.0
     20090502nirc2 single_night 54953.517016 2009.333380             54         0.37448           0.38490        0.05338        0.38250        0.04150      59.61778      4.97820     58.29500      3.35500               49          0.04450          0.39000          0.03000        58.53000        3.70976       57.70000        2.80000               -1.0                -1.0
     20090504nirc2 single_night 54955.552413 2009.338953             57         0.44939           0.45214        0.04599        0.45300        0.02900      53.99860      3.14551     53.13000      1.75000               56          0.04225          0.45500          0.02500        53.77589        2.69145       53.09000        1.70500               -1.0                -1.0
20090722_0724nirc2  multi_night 55036.265374 2009.559933            184         0.24509           0.29451        0.05729        0.24100        0.04300      69.05353      9.16155     67.82000      6.14000               82          0.03690          0.29000          0.02000        61.19524        3.21088       61.29500        2.67000               -1.0                -1.0
     20090722nirc2 single_night 55034.306024 2009.554568             34         0.21674           0.22448        0.03223        0.21850        0.02200      75.80059      6.21836     75.45000      3.86000               29          0.02513          0.23000          0.02000        73.89552        4.33670       73.41000        3.10000               -1.0                -1.0
     20090724nirc2 single_night 55036.330481 2009.560111            150         0.25151           0.29595        0.05973        0.25450        0.04200      67.52420      9.02978     65.57000      5.39500               79          0.03665          0.29000          0.02000        61.02203        3.13940       60.94000        2.65000               -1.0                -1.0
     20090909nirc2 single_night 55083.249400 2009.688568             55         0.33222           0.37114        0.10002        0.34200        0.05800      66.76182     23.84686     61.29000      4.75000               44          0.05254          0.38000          0.04000        59.74045        4.15177       58.14000        3.18500               -1.0                -1.0
20100504_0505nirc2  multi_night 55320.952314 2010.339363            219         0.30285           0.34082        0.07345        0.32700        0.03800      67.22712     12.30938     62.68000      3.68000              158          0.03495          0.34000          0.02000        61.22911        3.02604       60.91000        2.13000 0.6922838628443755 0.17117182660966326
     20100504nirc2 single_night 55320.545461 2010.338249            140         0.29320           0.32991        0.07571        0.31800        0.03850      69.16707     13.68114     63.92500      3.89000              106          0.03617          0.33000          0.02000        62.74302        3.21040       62.45000        2.46000 0.7417789635454418 0.16984798185896338
     20100505nirc2 single_night 55321.583111 2010.341090             79         0.31996           0.35167        0.06589        0.34200        0.03400      63.78924      8.35765     60.64000      2.85000               60          0.03484          0.35500          0.02500        59.56033        2.59363       59.70000        1.85000  0.624039328976986 0.17435961547628642
     20100706nirc2 single_night 55383.351312 2010.510202            136         0.32401           0.33900        0.04670        0.33000        0.03000      62.83743      5.41844     61.86000      3.09000              110          0.03593          0.34000          0.02000        60.88136        3.20206       60.62000        2.26500 0.5388329018677726 0.25413677907494925
     20100815nirc2 single_night 55423.283532 2010.619531            143         0.30546           0.31543        0.04182        0.31800        0.02400      59.90378      4.56720     58.64000      2.48000              127          0.03296          0.32000          0.02000        58.68291        3.09117       58.36000        2.20000 0.4587708304920143 0.14844780227524002
     20110527nirc2 single_night 55708.505184 2011.400425            164         0.27618           0.30735        0.06345        0.28200        0.04950      69.77189     10.95973     66.11000      5.45000              117          0.04125          0.31000          0.03000        64.37581        4.14768       63.89000        3.09000               -1.0                -1.0
     20110718nirc2 single_night 55760.343774 2011.542351            212         0.28064           0.29799        0.04760        0.28150        0.02850      60.63835      6.90817     59.38500      3.59000              164          0.03124          0.30000          0.02000        57.96415        3.30437       57.87000        2.53500  0.695707492543437 0.14214889663741326
20110823_0824nirc2  multi_night 55796.727607 2011.641965            218         0.35001           0.35863        0.04753        0.35150        0.03350      61.04289      4.07396     60.59500      2.74500              197          0.04189          0.36000          0.03000        60.17985        3.17899       60.12000        2.43000 0.6519003686574494 0.24077292908595518
     20110823nirc2 single_night 55796.280173 2011.640740            108         0.37574           0.38127        0.04176        0.37950        0.02550      60.11185      4.18635     59.46500      2.77000              102          0.03728          0.38000          0.02000        59.51167        3.37096       59.22500        2.56500 0.7272241533246484     0.2530840696171
     20110824nirc2 single_night 55797.274578 2011.643462            110         0.32475           0.32951        0.03844        0.32750        0.02800      61.95700      3.74154     61.58500      2.63500              102          0.03563          0.33000          0.02500        61.35784        3.18039       61.46500        2.35000 0.5564914991756754 0.22393945077248617
20120515_0518nirc2  multi_night 56062.838550 2012.370537            290         0.31048           0.33520        0.05028        0.31100        0.03500      62.70417      6.30583     61.46500      4.06000              202          0.03589          0.33000          0.03000        59.33564        2.96266       59.61000        2.36500               -1.0                -1.0
     20120515nirc2 single_night 56062.518869 2012.369662            207         0.32554           0.33617        0.04417        0.32500        0.03100      60.06333      3.93893     59.77000      2.70000              180          0.03718          0.33000          0.03000        58.98006        2.89196       59.07500        2.13500               -1.0                -1.0
     20120518nirc2 single_night 56065.493841 2012.377807             83         0.27292           0.28559        0.04462        0.27000        0.02400      69.29036      6.28229     68.67000      4.36000               68          0.03583          0.28000          0.02000        67.26647        4.12993       67.51000        3.47000               -1.0                -1.0
